,,,,,,
,Total,Department,,,,
,"$90,259,485.19",RAW MATERIALS/FULL GOODS,,,,
,"$87,201,646.79",RAW MATERIALS/FULL GOODS,,,,
,"$26,265,592.13",RAW MATERIALS/FULL GOODS,,,,
,"$20,654,406.89",RAW MATERIALS/FULL GOODS,,,,
,"$16,709,878.10",RAW MATERIALS/FULL GOODS,,,,
,"$13,215,278.94",RAW MATERIALS/FULL GOODS,,,,
,"$12,196,992.22",RAW MATERIALS/FULL GOODS,,,,
,"$5,427,104.62",RAW MATERIALS/FULL GOODS,,,,
,"$5,186,028.03",RAW MATERIALS/FULL GOODS,,,,
,"$3,983,652.22",RAW MATERIALS/FULL GOODS,,,,
,"$3,478,511.38",HUMAN RESOURCES,,,,
,"$2,709,774.25",HUMAN RESOURCES,,,,
,"$2,653,786.20",RAW MATERIALS/FULL GOODS,,,,
,"$2,156,585.02",RAW MATERIALS/FULL GOODS,,,,
,"$1,902,876.00",ACCOUNTING,,,,
,"$1,864,189.60",FLEET,,,,
,"$1,689,558.26",FLEET,,,,
,"$1,681,461.33",MIDDLESTREET GRAPHICS,,,,
,"$1,679,077.27",ACCOUNTING,,,,
,"$1,468,899.26",FLEET,,,,
,"$1,386,208.22",OPERATIONS/WAREHOUSE,,,,
,"$1,325,609.28",OPERATIONS/WAREHOUSE,,,,
,"$1,243,951.49",RAW MATERIALS/FULL GOODS,,,,
,"$1,203,186.00",ACCOUNTING,,,,
,"$1,200,180.35",HUMAN RESOURCES,,,,
,"$1,174,662.14",RAW MATERIALS/FULL GOODS,,,,
,"$1,138,693.62",DTBT,,,,
,"$1,117,318.07",RAW MATERIALS/FULL GOODS,,,,
,"$1,109,509.38",OPERATIONS/WAREHOUSE,,,,
,"$1,082,667.58",RAW MATERIALS/FULL GOODS,,,,
,"$1,073,212.09",FLEET,,,,
,"$1,059,249.37",HUMAN RESOURCES,,,,
,"$999,716.86",MIDDLESTREET GRAPHICS,,,,
,"$977,909.87",ADCO,,,,
,"$952,089.15",RAW MATERIALS/FULL GOODS,,,,
,"$927,054.06",OPERATIONS/WAREHOUSE,,,,
,"$879,336.99",SALES-RETAIL/ON-PREMISE,,,,
,"$875,259.29",MIDDLESTREET GRAPHICS,,,,
,"$846,948.54",RAW MATERIALS/FULL GOODS,,,,
,"$819,441.57",FLEET,,,,
,"$745,391.60",OPERATIONS/WAREHOUSE,,,,
,"$730,232.00",ACCOUNTING,,,,
,"$725,521.04",FLEET,,,,
,"$715,955.30",RAW MATERIALS/FULL GOODS,,,,
,"$709,627.63",DTBT,,,,
,"$650,237.68",FLEET,,,,
,"$645,824.22",OPERATIONS/WAREHOUSE,,,,
,"$644,740.60",OPERATIONS/WAREHOUSE,,,,
,"$640,389.04",OPERATIONS/WAREHOUSE,,,,
,"$633,041.52",ACCOUNTING,,,,
,"$631,177.76",OPERATIONS/WAREHOUSE,,,,
,"$522,797.00",RAW MATERIALS/FULL GOODS,,,,
,"$522,612.00",ACCOUNTING,,,,
,"$516,750.00",MIDDLESTREET GRAPHICS,,,,
,"$500,218.50",HUMAN RESOURCES,,,,
,"$500,019.42",OPERATIONS/WAREHOUSE,,,,
,"$497,118.94",OPERATIONS/WAREHOUSE,,,,
,"$490,495.43",OPERATIONS/WAREHOUSE,,,,
,"$486,208.84",OPERATIONS/WAREHOUSE,,,,
,"$480,296.71",OPERATIONS/WAREHOUSE,,,,
,"$475,753.82",OPERATIONS/WAREHOUSE,,,,
,"$457,044.07",ACCOUNTING,,,,
,"$443,134.75",ADCO,,,,
,"$439,197.48",RAW MATERIALS/FULL GOODS,,,,
,"$424,900.57",OPERATIONS/WAREHOUSE,,,,
,"$410,000.00",SALES-RETAIL/ON-PREMISE,,,,
,"$404,786.08",MIDDLESTREET GRAPHICS,,,,
,"$372,378.00",ACCOUNTING,,,,
,"$370,229.08",RAW MATERIALS/FULL GOODS,,,,
,"$361,953.96",SALES-RETAIL/ON-PREMISE,,,,
,"$357,906.00",RAW MATERIALS/FULL GOODS,,,,
,"$352,584.35",CMED,,,,
,"$351,412.98",RAW MATERIALS/FULL GOODS,,,,
,"$341,264.50",SALES-RETAIL/ON-PREMISE,,,,
,"$338,026.23",HUMAN RESOURCES,,,,
,"$327,939.01",RAW MATERIALS/FULL GOODS,,,,
,"$315,458.82",FLEET,,,,
,"$312,562.56",OPERATIONS/WAREHOUSE,,,,
,"$310,093.97",OPERATIONS/WAREHOUSE,,,,
,"$302,102.78",OPERATIONS/WAREHOUSE,,,,
,"$300,977.54",OPERATIONS/WAREHOUSE,,,,
,"$297,296.59",ACCOUNTING,,,,
,"$296,635.23",OPERATIONS/WAREHOUSE,,,,
,"$294,774.55",RAW MATERIALS/FULL GOODS,,,,
,"$292,515.50",HUMAN RESOURCES,,,,
,"$290,731.66",CMED,,,,
,"$290,604.97",OPERATIONS/WAREHOUSE,,,,
,"$286,153.15",OPERATIONS/WAREHOUSE,,,,
,"$285,000.00",HUMAN RESOURCES,,,,
,"$279,811.62",OPERATIONS/WAREHOUSE,,,,
,"$271,309.97",MIDDLESTREET GRAPHICS,,,,
,"$265,578.15",MIDDLESTREET GRAPHICS,,,,
,"$265,300.00",SALES-RETAIL/ON-PREMISE,,,,
