,,,,,,
90259485.19,RAW MATERIALS/FULL GOODS,,,,,
87201646.79,RAW MATERIALS/FULL GOODS,,,,,
26265592.13,RAW MATERIALS/FULL GOODS,,,,,
20654406.89,RAW MATERIALS/FULL GOODS,,,,,
16709878.1,RAW MATERIALS/FULL GOODS,,,,,
13215278.94,RAW MATERIALS/FULL GOODS,,,,,
12196992.22,RAW MATERIALS/FULL GOODS,,,,,
5427104.62,RAW MATERIALS/FULL GOODS,,,,,
5186028.03,RAW MATERIALS/FULL GOODS,,,,,
3983652.22,RAW MATERIALS/FULL GOODS,,,,,
3478511.38,HUMAN RESOURCES,,,,,
2709774.25,HUMAN RESOURCES,,,,,
2653786.2,RAW MATERIALS/FULL GOODS,,,,,
2156585.02,RAW MATERIALS/FULL GOODS,,,,,
1902876,ACCOUNTING,,,,,
1864189.6,FLEET,,,,,
1689558.26,FLEET,,,,,
1681461.33,MIDDLESTREET GRAPHICS,,,,,
1679077.27,ACCOUNTING,,,,,
1468899.26,FLEET,,,,,
1386208.22,OPERATIONS/WAREHOUSE,,,,,
1325609.28,OPERATIONS/WAREHOUSE,,,,,
1243951.49,RAW MATERIALS/FULL GOODS,,,,,
1203186,ACCOUNTING,,,,,
1200180.35,HUMAN RESOURCES,,,,,
1174662.14,RAW MATERIALS/FULL GOODS,,,,,
1138693.62,DTBT,,,,,
1117318.07,RAW MATERIALS/FULL GOODS,,,,,
1109509.38,OPERATIONS/WAREHOUSE,,,,,
1082667.58,RAW MATERIALS/FULL GOODS,,,,,
1073212.09,FLEET,,,,,
1059249.37,HUMAN RESOURCES,,,,,
999716.86,MIDDLESTREET GRAPHICS,,,,,
977909.87,ADCO,,,,,
952089.15,RAW MATERIALS/FULL GOODS,,,,,
927054.06,OPERATIONS/WAREHOUSE,,,,,
879336.99,SALES-RETAIL/ON-PREMISE,,,,,
875259.29,MIDDLESTREET GRAPHICS,,,,,
846948.54,RAW MATERIALS/FULL GOODS,,,,,
819441.57,FLEET,,,,,
745391.6,OPERATIONS/WAREHOUSE,,,,,
730232,ACCOUNTING,,,,,
725521.04,FLEET,,,,,
715955.3,RAW MATERIALS/FULL GOODS,,,,,
709627.63,DTBT,,,,,
650237.68,FLEET,,,,,
645824.22,OPERATIONS/WAREHOUSE,,,,,
644740.6,OPERATIONS/WAREHOUSE,,,,,
640389.04,OPERATIONS/WAREHOUSE,,,,,
633041.52,ACCOUNTING,,,,,
631177.76,OPERATIONS/WAREHOUSE,,,,,
522797,RAW MATERIALS/FULL GOODS,,,,,
522612,ACCOUNTING,,,,,
516750,MIDDLESTREET GRAPHICS,,,,,
500218.5,HUMAN RESOURCES,,,,,
500019.42,OPERATIONS/WAREHOUSE,,,,,
497118.94,OPERATIONS/WAREHOUSE,,,,,
490495.43,OPERATIONS/WAREHOUSE,,,,,
486208.84,OPERATIONS/WAREHOUSE,,,,,
480296.71,OPERATIONS/WAREHOUSE,,,,,
475753.82,OPERATIONS/WAREHOUSE,,,,,
457044.07,ACCOUNTING,,,,,
443134.75,ADCO,,,,,
439197.48,RAW MATERIALS/FULL GOODS,,,,,
424900.57,OPERATIONS/WAREHOUSE,,,,,
410000,SALES-RETAIL/ON-PREMISE,,,,,
404786.08,MIDDLESTREET GRAPHICS,,,,,
372378,ACCOUNTING,,,,,
370229.08,RAW MATERIALS/FULL GOODS,,,,,
361953.96,SALES-RETAIL/ON-PREMISE,,,,,
357906,RAW MATERIALS/FULL GOODS,,,,,
352584.35,CMED,,,,,
351412.98,RAW MATERIALS/FULL GOODS,,,,,
341264.5,SALES-RETAIL/ON-PREMISE,,,,,
338026.23,HUMAN RESOURCES,,,,,
327939.01,RAW MATERIALS/FULL GOODS,,,,,
315458.82,FLEET,,,,,
312562.56,OPERATIONS/WAREHOUSE,,,,,
310093.97,OPERATIONS/WAREHOUSE,,,,,
302102.78,OPERATIONS/WAREHOUSE,,,,,
300977.54,OPERATIONS/WAREHOUSE,,,,,
297296.59,ACCOUNTING,,,,,
296635.23,OPERATIONS/WAREHOUSE,,,,,
294774.55,RAW MATERIALS/FULL GOODS,,,,,
292515.5,HUMAN RESOURCES,,,,,
290731.66,CMED,,,,,
290604.97,OPERATIONS/WAREHOUSE,,,,,
286153.15,OPERATIONS/WAREHOUSE,,,,,
285000,HUMAN RESOURCES,,,,,
279811.62,OPERATIONS/WAREHOUSE,,,,,
271309.97,MIDDLESTREET GRAPHICS,,,,,
265578.15,MIDDLESTREET GRAPHICS,,,,,
265300,SALES-RETAIL/ON-PREMISE,,,,,
264582.31,DTBT,,,,,
259196.06,OPERATIONS/WAREHOUSE,,,,,
254651.23,SALES-RETAIL/ON-PREMISE,,,,,
253066.63,OPERATIONS/WAREHOUSE,,,,,
249900,OPERATIONS/WAREHOUSE,,,,,
249362.19,OPERATIONS/WAREHOUSE,,,,,
247203.53,ADCO,,,,,
240144.57,ADCO,,,,,
236353.3,OPERATIONS/WAREHOUSE,,,,,
236298.4,SALES-RETAIL/ON-PREMISE,,,,,
231138.25,ACCOUNTING,,,,,
230796.22,SALES-RETAIL/ON-PREMISE,,,,,
229755.11,CMED,,,,,
228134.19,RAW MATERIALS/FULL GOODS,,,,,
227135.45,MIDDLESTREET GRAPHICS,,,,,
