0.811,Accuracy,Logistic Orginal,,,,
0.828,Precision,Logistic Orginal,,,,
0.771,Recall,Logistic Orginal,,,,
0.798,F1,Logistic Orginal,,,,
0.822,Accuracy,Classic Tree Original,,,,
0.856,Precision,Classic Tree Original,,,,
0.762,Recall,Classic Tree Original,,,,
0.806,F1,Classic Tree Original,,,,
0.834,Accuracy,xgBoost Original,,,,
0.851,Precision,xgBoost Original,,,,
0.8,Recall,xgBoost Original,,,,
0.824,F1,xgBoost Original,,,,
0.954,Accuracy,Naive Bayes Original,,,,
0.965,Precision,Naive Bayes Original,,,,
0.945,Recall,Naive Bayes Original,,,,
0.955,F1,Naive Bayes Original,,,,
0.805,Accuracy,Logistic Scraped,,,,
0.82,Precision,Logistic Scraped,,,,
0.767,Recall,Logistic Scraped,,,,
0.792,F1,Logistic Scraped,,,,
0.845,Accuracy,Classic Tree Scraped,,,,
0.88,Precision,Classic Tree Scraped,,,,
0.788,Recall,Classic Tree Scraped,,,,
0.831,F1,Classic Tree Scraped,,,,
0.835,Accuracy,xgBoost Scraped,,,,
0.854,Precision,xgBoost Scraped,,,,
0.798,Recall,xgBoost Scraped,,,,
0.825,F1,xgBoost Scraped,,,,
0.477,Accuracy,Naive Bayes Scraped,,,,
0.474,Precision,Naive Bayes Scraped,,,,
0.605,Recall,Naive Bayes Scraped,,,,
0.532,F1,Naive Bayes Scraped,,,,
