0.811,Accuracy,Logistic Orginal,,,,
0.828,Precision,Logistic Orginal,,,,
0.771,Recall,Logistic Orginal,,,,
0.798,F1,Logistic Orginal,,,,
0.822,Accuracy,Classic Tree Original,,,,
0.856,Precision,Classic Tree Original,,,,
0.762,Recall,Classic Tree Original,,,,
0.806,F1,Classic Tree Original,,,,
0.834,Accuracy,xgBoost Original,,,,
0.851,Precision,xgBoost Original,,,,
0.8,Recall,xgBoost Original,,,,
0.824,F1,xgBoost Original,,,,
0.954,Accuracy,Naive Bayes Original,,,,
0.965,Precision,Naive Bayes Original,,,,
0.945,Recall,Naive Bayes Original,,,,
0.955,F1,Naive Bayes Original,,,,
0.659,Accuracy,Logistic Scraped,,,,
0.681,Precision,Logistic Scraped,,,,
0.71,Recall,Logistic Scraped,,,,
0.695,F1,Logistic Scraped,,,,
0.607,Accuracy,Classic Tree Scraped,,,,
0.643,Precision,Classic Tree Scraped,,,,
0.634,Recall,Classic Tree Scraped,,,,
0.639,F1,Classic Tree Scraped,,,,
0.631,Accuracy,xgBoost Scraped,,,,
0.658,Precision,xgBoost Scraped,,,,
0.68,Recall,xgBoost Scraped,,,,
0.668,F1,xgBoost Scraped,,,,
0.477,Accuracy,Naive Bayes Scraped,,,,
0.443,Precision,Naive Bayes Scraped,,,,
0.618,Recall,Naive Bayes Scraped,,,,
0.516,F1,Naive Bayes Scraped,,,,
