0.811,Accuracy,Logistic Orginal,1,,,
0.828,Precision,Logistic Orginal,2,,,
0.771,Recall,Logistic Orginal,3,,,
0.798,F1,Logistic Orginal,4,,,
0.822,Accuracy,Classic Tree Original,5,,,
0.856,Precision,Classic Tree Original,6,,,
0.762,Recall,Classic Tree Original,7,,,
0.806,F1,Classic Tree Original,8,,,
0.834,Accuracy,xgBoost Original,9,,,
0.851,Precision,xgBoost Original,10,,,
0.8,Recall,xgBoost Original,11,,,
0.824,F1,xgBoost Original,12,,,
0.954,Accuracy,Naive Bayes Original,13,,,
0.965,Precision,Naive Bayes Original,14,,,
0.945,Recall,Naive Bayes Original,15,,,
0.955,F1,Naive Bayes Original,16,,,
0.659,Accuracy,Logistic Scraped,17,,,
0.681,Precision,Logistic Scraped,18,,,
0.71,Recall,Logistic Scraped,19,,,
0.695,F1,Logistic Scraped,20,,,
0.607,Accuracy,Classic Tree Scraped,21,,,
0.643,Precision,Classic Tree Scraped,22,,,
0.634,Recall,Classic Tree Scraped,23,,,
0.639,F1,Classic Tree Scraped,24,,,
0.631,Accuracy,xgBoost Scraped,25,,,
0.658,Precision,xgBoost Scraped,26,,,
0.68,Recall,xgBoost Scraped,27,,,
0.668,F1,xgBoost Scraped,28,,,
0.477,Accuracy,Naive Bayes Scraped,29,,,
0.443,Precision,Naive Bayes Scraped,30,,,
0.618,Recall,Naive Bayes Scraped,31,,,
0.516,F1,Naive Bayes Scraped,32,,,
